dataset,split,n,avg_words,class_0_count,class_0_pct,class_1_count,class_1_pct,class_2_count,class_2_pct,class_3_count,class_3_pct,class_4_count,class_4_pct
amazon_reviews,train,200000,34.1,40000,20.0,40000,20.0,40000,20.0,40000,20.0,40000,20.0
amazon_reviews,validation,5000,34.5,1000,20.0,1000,20.0,1000,20.0,1000,20.0,1000,20.0
amazon_reviews,test,5000,33.9,1000,20.0,1000,20.0,1000,20.0,1000,20.0,1000,20.0
snli,train,549367,20.3,183416,33.4,182764,33.3,183187,33.3,,,,
snli,validation,9842,21.4,3329,33.8,3235,32.9,3278,33.3,,,,
snli,test,9824,21.4,3368,34.3,3219,32.8,3237,32.9,,,,
sst5,train,8544,19.1,1092,12.8,2218,26.0,1624,19.0,2322,27.2,1288,15.1
sst5,validation,1101,19.3,139,12.6,289,26.2,229,20.8,279,25.3,165,15.0
sst5,test,2210,19.2,279,12.6,633,28.6,389,17.6,510,23.1,399,18.1
yelp,train,585000,134.2,116419,19.9,118031,20.2,119608,20.4,119233,20.4,111709,19.1
yelp,validation,65000,133.3,13581,20.9,11969,18.4,10392,16.0,10767,16.6,18291,28.1
yelp,test,50000,134.3,10000,20.0,10000,20.0,10000,20.0,10000,20.0,10000,20.0
