dataset,loss,pretrained_model,trained_model,accuracy,precision,recall,f1_score,distance_1,distance_2,off-by-1-accuracy,mae,mse,kendalltau,distrib-0,distrib-1,distrib-2,distance_3,distance_4,off-by-2-accuracy,off-by-3-accuracy,distrib-3,distrib-4,lr,epochs
snli,BCE,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-BCE-1_36_ep_0.0001_lr_1024_batch,0.8294,0.8325,0.8294,0.8303,0.1529,0.0177,0.9823,0.188314332247557,0.2237377850162866,0.7995593114103188,3325,3465.0,3034.0,,,,,,,0.0001,36.0
snli,CE,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-CE-1_36_ep_0.0001_lr_1024_batch,0.8356,0.8354,0.8356,0.8354,0.141,0.0234,0.9766,0.1878053745928338,0.2346294788273615,0.796612143417612,3459,3198.0,3167.0,,,,,,,0.0001,36.0
snli,CORAL,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-CORAL-1_36_ep_0.0001_lr_1024_batch,0.8293,0.8288,0.8293,0.829,0.1537,0.017,0.983,0.1877035830618892,0.2217019543973941,0.8033064265754831,3430,3167.0,3227.0,,,,,,,0.0001,36.0
snli,EMD,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-EMD-1_36_ep_0.0001_lr_1024_batch,0.8372,0.8373,0.8372,0.8372,0.1421,0.0207,0.9793,0.1834283387622149,0.2247557003257329,0.802986211601539,3387,3229.0,3208.0,,,,,,,0.0001,36.0
snli,OLL1,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-OLL1-1_36_ep_0.0001_lr_1024_batch,0.8268,0.8313,0.8268,0.828,0.1557,0.0175,0.9825,0.190757328990228,0.2257736156351791,0.7967996991641917,3266,3545.0,3013.0,,,,,,,0.0001,36.0
snli,OLL15,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-OLL15-1_36_ep_0.0001_lr_1024_batch,0.8227,0.8296,0.8227,0.8245,0.1631,0.0143,0.9857,0.191571661237785,0.2200732899022801,0.7986915772975751,3150,3645.0,3029.0,,,,,,,0.0001,36.0
snli,OLL2,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-OLL2-1_36_ep_0.0001_lr_1024_batch,0.8149,0.8245,0.8149,0.8173,0.1725,0.0125,0.9875,0.1975773615635179,0.2226180781758957,0.7943563411674103,3129,3742.0,2953.0,,,,,,,0.0001,36.0
snli,SOFT2,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-SOFT2-1_36_ep_0.0001_lr_1024_batch,0.833,0.833,0.833,0.8329,0.1442,0.0228,0.9772,0.1898412052117263,0.2354438110749185,0.7949604035759472,3421,3230.0,3173.0,,,,,,,0.0001,36.0
snli,SOFT3,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-SOFT3-1_36_ep_0.0001_lr_1024_batch,0.8341,0.8343,0.8341,0.8341,0.1428,0.0231,0.9769,0.1890268729641693,0.2352402280130293,0.795222733806422,3421,3252.0,3151.0,,,,,,,0.0001,36.0
snli,SOFT4,google/bert-tiny,bert_uncased_L-2_H-128_A-2-snli-SOFT4-1_36_ep_0.0001_lr_1024_batch,0.8362,0.8365,0.8362,0.8362,0.1408,0.023,0.977,0.1867874592833876,0.2327972312703583,0.7976808366372877,3465,3248.0,3111.0,,,,,,,0.0001,36.0
