model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-1,100,0.0001,1024,0.525,0.5455,0.525,0.531,0.391,0.0714,0.01,0.0026,0.916,0.9874,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-2,100,0.0001,1024,0.5254,0.5431,0.5254,0.5304,0.3924,0.0678,0.0118,0.0026,0.9178,0.9856,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-3,100,0.0001,1024,0.5282,0.5476,0.5282,0.5335,0.3884,0.0692,0.011,0.0032,0.9166,0.9858,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-4,100,0.0001,1024,0.5274,0.5413,0.5274,0.532,0.3904,0.0684,0.0108,0.003,0.9178,0.9862,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-5,100,0.0001,1024,0.5278,0.5483,0.5278,0.5331,0.3928,0.0668,0.0096,0.003,0.9206,0.9874,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-1,100,1e-05,1024,0.5256,0.5396,0.5256,0.5299,0.3866,0.0742,0.0108,0.0028,0.9122,0.9864,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-2,100,1e-05,1024,0.5288,0.5406,0.5288,0.5321,0.3864,0.0694,0.0116,0.0038,0.9152,0.9846,0.9962
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-3,100,1e-05,1024,0.5276,0.5401,0.5276,0.5318,0.3858,0.072,0.0116,0.003,0.9134,0.9854,0.997
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-4,100,1e-05,1024,0.531,0.5408,0.531,0.534,0.3822,0.0726,0.0108,0.0034,0.9132,0.9858,0.9966
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-5,100,1e-05,1024,0.5252,0.5381,0.5252,0.5288,0.3884,0.072,0.0112,0.0032,0.9136,0.9856,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-1,100,7.5e-05,1024,0.5256,0.5456,0.5256,0.5315,0.3908,0.0708,0.0106,0.0022,0.9164,0.9872,0.9978
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-2,100,7.5e-05,1024,0.5314,0.5411,0.5314,0.5338,0.383,0.0704,0.0126,0.0026,0.9144,0.9848,0.9974
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-3,100,7.5e-05,1024,0.529,0.5464,0.529,0.5343,0.3854,0.0714,0.0114,0.0028,0.9144,0.9858,0.9972
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-4,100,7.5e-05,1024,0.5278,0.5392,0.5278,0.5312,0.3888,0.0694,0.0108,0.0032,0.9166,0.986,0.9968
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-5,100,7.5e-05,1024,0.529,0.5464,0.529,0.534,0.3906,0.067,0.011,0.0024,0.9196,0.9866,0.9976
google/bert_uncased_L-2_H-128_A-2-amazon_reviews-BCE-1,100,5e-05,1024,0.5306,0.5458,0.5306,0.5353,0.384,0.072,0.0106,0.0028,0.9146,0.9866,0.9972
