model_name,epochs,learning_rate,train_batch_size,accuracy,precision,recall,f1_score,distance_1,distance_2,distance_3,distance_4,off-by-1-accuracy,off-by-2-accuracy,off-by-3-accuracy
google/bert_uncased_L-2_H-128_A-2-sst5-CE-1,2340,0.0001,1024,0.4124,0.3723,0.4124,0.342,0.4314,0.1272,0.0272,0.0018,0.8438,0.9709,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-1,2340,0.0001,1024,0.4214,0.4356,0.4214,0.4049,0.4469,0.1126,0.0182,0.0009,0.8683,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-1,2340,0.0001,1024,0.4142,0.4332,0.4142,0.3835,0.4514,0.1172,0.0173,0.0018,0.8656,0.9827,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-1,2340,0.0001,1024,0.4024,0.3697,0.4024,0.3543,0.465,0.1135,0.0191,0.0009,0.8674,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-1,2340,0.0001,1024,0.2625,0.0689,0.2625,0.1091,0.3342,0.2534,0.1499,0.0091,0.5967,0.8501,0.9909
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-1,2340,0.0001,1024,0.3933,0.3943,0.3933,0.3889,0.4351,0.1462,0.0227,0.0027,0.8283,0.9746,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-1,2340,0.0001,1024,0.4069,0.3593,0.4069,0.3488,0.4432,0.1244,0.0236,0.0018,0.8501,0.9746,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-1,2340,0.0001,1024,0.4078,0.3553,0.4078,0.3453,0.4441,0.1208,0.0254,0.0018,0.852,0.9728,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-1,2340,0.0001,1024,0.4078,0.365,0.4078,0.3429,0.4396,0.1262,0.0245,0.0018,0.8474,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-1,2340,0.0001,1024,0.4133,0.4103,0.4133,0.3406,0.4369,0.1235,0.0245,0.0018,0.8501,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-1,2340,0.0001,1024,0.3924,0.4385,0.3924,0.3436,0.4696,0.1172,0.0209,0.0009,0.8619,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-2,2340,0.0001,1024,0.406,0.4477,0.406,0.375,0.4569,0.119,0.0182,0.0027,0.8629,0.9818,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-3,2340,0.0001,1024,0.396,0.3616,0.396,0.36,0.4805,0.1054,0.0182,0.0018,0.8765,0.9818,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-4,2340,0.0001,1024,0.406,0.4237,0.406,0.3707,0.4641,0.1108,0.0191,0.0027,0.8701,0.9809,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-5,2340,0.0001,1024,0.4069,0.4449,0.4069,0.374,0.4678,0.1081,0.0173,0.0027,0.8747,0.9827,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-1,2340,1e-05,1024,0.4042,0.4282,0.4042,0.3812,0.4505,0.1235,0.0218,0.0009,0.8547,0.9782,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-2,2340,1e-05,1024,0.4024,0.4261,0.4024,0.3761,0.4587,0.1199,0.0191,0.0009,0.861,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-3,2340,1e-05,1024,0.4024,0.4271,0.4024,0.38,0.4705,0.1054,0.0218,0.0009,0.8728,0.9782,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-4,2340,1e-05,1024,0.4033,0.43,0.4033,0.3828,0.4641,0.1117,0.0209,0.0009,0.8674,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-5,2340,1e-05,1024,0.4005,0.4117,0.4005,0.3807,0.4569,0.1217,0.0209,0.0009,0.8574,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-1,2340,7.5e-05,1024,0.4024,0.4594,0.4024,0.3527,0.4614,0.1172,0.0191,0.0009,0.8638,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-2,2340,7.5e-05,1024,0.4033,0.4453,0.4033,0.3685,0.465,0.1135,0.0182,0.0027,0.8683,0.9818,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-3,2340,7.5e-05,1024,0.3978,0.4174,0.3978,0.378,0.4723,0.1117,0.0182,0.0009,0.8701,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-4,2340,7.5e-05,1024,0.4005,0.4008,0.4005,0.3653,0.4678,0.1135,0.0182,0.0018,0.8683,0.9818,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-5,2340,7.5e-05,1024,0.4005,0.4245,0.4005,0.3787,0.465,0.1135,0.0209,0.0009,0.8656,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-1,2340,5e-05,1024,0.3887,0.4228,0.3887,0.3217,0.475,0.1163,0.02,0.0018,0.8638,0.98,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-2,2340,5e-05,1024,0.3924,0.3724,0.3924,0.3456,0.4741,0.1153,0.0182,0.0018,0.8665,0.9818,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-3,2340,5e-05,1024,0.4087,0.4255,0.4087,0.3957,0.4605,0.109,0.0209,0.0009,0.8692,0.9782,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-4,2340,5e-05,1024,0.4033,0.4243,0.4033,0.3923,0.4605,0.1172,0.0191,0.0009,0.8638,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-5,2340,5e-05,1024,0.4033,0.4165,0.4033,0.39,0.4578,0.1181,0.0209,0.0009,0.861,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-1,2340,2.5e-05,1024,0.396,0.4213,0.396,0.3718,0.465,0.1181,0.0209,0.0009,0.861,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-2,2340,2.5e-05,1024,0.4051,0.4423,0.4051,0.3731,0.4605,0.1153,0.0191,0.0009,0.8656,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-3,2340,2.5e-05,1024,0.4024,0.4227,0.4024,0.3819,0.465,0.1108,0.0218,0.0009,0.8674,0.9782,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-4,2340,2.5e-05,1024,0.4042,0.4335,0.4042,0.3892,0.4632,0.1144,0.0182,0.0009,0.8674,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-5,2340,2.5e-05,1024,0.4033,0.4226,0.4033,0.3799,0.4596,0.1172,0.02,0.0009,0.8629,0.98,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa1p5-1,2340,5e-05,1024,0.3869,0.3734,0.3869,0.2913,0.465,0.1262,0.0218,0.0018,0.852,0.9782,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa1p5-2,2340,5e-05,1024,0.4151,0.3682,0.4151,0.3543,0.4405,0.1153,0.0291,0.0009,0.8556,0.9709,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa1p5-3,2340,5e-05,1024,0.4105,0.3587,0.4105,0.344,0.4323,0.1235,0.0327,0.0009,0.8429,0.9664,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa1p5-4,2340,5e-05,1024,0.4096,0.3667,0.4096,0.3496,0.4523,0.1117,0.0263,0.0018,0.8619,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa1p5-5,2340,5e-05,1024,0.4105,0.3812,0.4105,0.3158,0.4369,0.1181,0.0336,0.0009,0.8474,0.9655,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa1p5-1,2340,7.5e-05,1024,0.3906,0.3538,0.3906,0.3516,0.4723,0.1181,0.0191,0.0027,0.8629,0.9809,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa1p5-2,2340,7.5e-05,1024,0.3915,0.4235,0.3915,0.3152,0.4705,0.1172,0.0209,0.0018,0.8619,0.9791,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa1p5-3,2340,7.5e-05,1024,0.3878,0.3531,0.3878,0.3535,0.4823,0.1153,0.0145,0.0027,0.8701,0.9855,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa1p5-4,2340,7.5e-05,1024,0.3778,0.4153,0.3778,0.312,0.4814,0.1226,0.0182,0.0009,0.8592,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa1p5-5,2340,7.5e-05,1024,0.3842,0.3628,0.3842,0.3243,0.4787,0.1181,0.0191,0.0027,0.8629,0.9809,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa1p5-1,2340,7.5e-05,1024,0.3924,0.3606,0.3924,0.3525,0.4723,0.1172,0.0182,0.0027,0.8647,0.9818,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa1p5-2,2340,7.5e-05,1024,0.3987,0.3606,0.3987,0.3614,0.465,0.119,0.0173,0.0018,0.8638,0.9827,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa1p5-3,2340,7.5e-05,1024,0.3815,0.3584,0.3815,0.3499,0.4859,0.1181,0.0145,0.0036,0.8674,0.9855,0.9964
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa1p5-4,2340,7.5e-05,1024,0.3751,0.264,0.3751,0.3079,0.4877,0.1181,0.0191,0.0009,0.8629,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa1p5-5,2340,7.5e-05,1024,0.3951,0.3465,0.3951,0.3629,0.4587,0.1235,0.0227,0.0018,0.8538,0.9773,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa1p5-1,2340,1e-05,1024,0.4005,0.282,0.4005,0.3148,0.4569,0.1244,0.0182,,0.8574,0.9818,
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa1p5-2,2340,1e-05,1024,0.3996,0.3595,0.3996,0.3683,0.4659,0.1126,0.0218,0.0009,0.8656,0.9782,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa1p5-3,2340,1e-05,1024,0.3896,0.2738,0.3896,0.3169,0.4768,0.1126,0.0209,0.0009,0.8665,0.9791,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa1p5-4,2340,1e-05,1024,0.3978,0.2795,0.3978,0.3199,0.4705,0.1126,0.0191,0.0018,0.8683,0.9809,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL2-TRIPa1p5-5,2340,1e-05,1024,0.3915,0.2699,0.3915,0.3002,0.4659,0.119,0.0236,0.0009,0.8574,0.9764,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa1p5-1,2340,1e-05,1024,0.3506,0.1461,0.3506,0.2057,0.4151,0.1644,0.0618,0.0082,0.7657,0.9301,0.9918
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa1p5-2,2340,1e-05,1024,0.3887,0.3957,0.3887,0.3901,0.446,0.1399,0.0245,0.0009,0.8347,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa1p5-3,2340,1e-05,1024,0.4051,0.4089,0.4051,0.4059,0.4305,0.1399,0.0227,0.0018,0.8356,0.9755,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa1p5-4,2340,1e-05,1024,0.3769,0.3762,0.3769,0.3731,0.4505,0.1353,0.0354,0.0018,0.8274,0.9628,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-WKL-TRIPa1p5-5,2340,1e-05,1024,0.3824,0.3843,0.3824,0.3828,0.4632,0.1244,0.0291,0.0009,0.8456,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa1p5-1,2340,2.5e-05,1024,0.4015,0.3524,0.4015,0.3439,0.4578,0.1208,0.02,0.0018,0.8592,0.98,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa1p5-2,2340,2.5e-05,1024,0.4105,0.3525,0.4105,0.3577,0.4405,0.1235,0.0245,0.0009,0.851,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa1p5-3,2340,2.5e-05,1024,0.4087,0.3414,0.4087,0.3476,0.4414,0.1262,0.0227,0.0009,0.8501,0.9764,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa1p5-4,2340,2.5e-05,1024,0.406,0.3502,0.406,0.3594,0.4505,0.1163,0.0272,0.0009,0.8565,0.9728,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT2-TRIPa1p5-5,2340,2.5e-05,1024,0.4178,0.3587,0.4178,0.3527,0.4378,0.1144,0.0291,0.0009,0.8556,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa1p5-1,2340,1e-05,1024,0.3978,0.3672,0.3978,0.3139,0.4623,0.1217,0.0182,0.0009,0.8601,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa1p5-2,2340,1e-05,1024,0.4142,0.3661,0.4142,0.3605,0.4469,0.1135,0.0254,0.0009,0.861,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa1p5-3,2340,1e-05,1024,0.4087,0.3431,0.4087,0.3391,0.4396,0.1217,0.0291,0.0009,0.8483,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa1p5-4,2340,1e-05,1024,0.4169,0.3704,0.4169,0.372,0.4441,0.1135,0.0254,0.0045,0.861,0.9746,0.9955
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT3-TRIPa1p5-5,2340,1e-05,1024,0.416,0.371,0.416,0.335,0.4296,0.1217,0.0318,0.0009,0.8456,0.9673,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa1p5-1,2340,7.5e-05,1024,0.3906,0.3913,0.3906,0.2945,0.4641,0.1235,0.0218,0.0018,0.8547,0.9782,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa1p5-2,2340,7.5e-05,1024,0.4124,0.3596,0.4124,0.3515,0.445,0.1172,0.0254,0.0009,0.8574,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa1p5-3,2340,7.5e-05,1024,0.406,0.3529,0.406,0.3317,0.4332,0.1308,0.0291,0.0009,0.8392,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa1p5-4,2340,7.5e-05,1024,0.4105,0.374,0.4105,0.3464,0.4523,0.1108,0.0263,0.0018,0.8629,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-SOFT4-TRIPa1p5-5,2340,7.5e-05,1024,0.4133,0.3685,0.4133,0.3366,0.4287,0.1226,0.0345,0.0009,0.842,0.9646,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa1p5-1,2340,7.5e-05,1024,0.3996,0.2988,0.3996,0.2984,0.4478,0.1281,0.0245,0.0018,0.8474,0.9755,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa1p5-2,2340,7.5e-05,1024,0.4187,0.3567,0.4187,0.3359,0.4205,0.1262,0.0336,0.0009,0.8392,0.9655,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa1p5-3,2340,7.5e-05,1024,0.4078,0.282,0.4078,0.3228,0.4332,0.1272,0.0309,0.0009,0.8411,0.9682,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa1p5-4,2340,7.5e-05,1024,0.4105,0.2847,0.4105,0.3255,0.4396,0.1244,0.0245,0.0009,0.8501,0.9746,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-EMD-TRIPa1p5-5,2340,7.5e-05,1024,0.4133,0.2872,0.4133,0.3262,0.4314,0.1199,0.0345,0.0009,0.8447,0.9646,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-TRIPa1p5-1,2340,0.0001,1024,0.376,0.2653,0.376,0.3073,0.4823,0.1181,0.0236,0.0027,0.8583,0.9764,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-TRIPa1p5-2,2340,0.0001,1024,0.3815,0.2663,0.3815,0.3099,0.4914,0.1072,0.02,0.0009,0.8728,0.98,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-TRIPa1p5-3,2340,0.0001,1024,0.3896,0.3504,0.3896,0.349,0.4759,0.1153,0.0191,0.0009,0.8656,0.9809,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-TRIPa1p5-4,2340,0.0001,1024,0.3842,0.3663,0.3842,0.3399,0.4814,0.1153,0.0191,0.0018,0.8656,0.9809,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-BCE-TRIPa1p5-5,2340,0.0001,1024,0.3996,0.4317,0.3996,0.3301,0.4659,0.1163,0.0182,0.0009,0.8656,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-TRIPa1p5-1,2340,0.001,1024,0.208,0.0433,0.208,0.0716,0.5159,0.2761,0.0109,0.0018,0.7239,0.9873,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-TRIPa1p5-2,2340,0.001,1024,0.3488,0.2324,0.3488,0.246,0.4441,0.1562,0.0509,0.0018,0.7929,0.9491,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-TRIPa1p5-3,2340,0.001,1024,0.2625,0.0689,0.2625,0.1091,0.3342,0.2534,0.1499,0.0245,0.5967,0.8501,0.9755
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-TRIPa1p5-4,2340,0.001,1024,0.2752,0.2831,0.2752,0.1912,0.4396,0.198,0.0708,0.0163,0.7148,0.9128,0.9837
google/bert_uncased_L-2_H-128_A-2-sst5-CORAL-TRIPa1p5-5,2340,0.001,1024,0.366,0.2489,0.366,0.2583,0.4423,0.1508,0.0409,0.0163,0.8084,0.9591,0.9837
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa2-1,2340,5e-05,1024,0.3851,0.3713,0.3851,0.2914,0.4659,0.129,0.02,0.0018,0.851,0.98,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa2-2,2340,5e-05,1024,0.4169,0.3735,0.4169,0.3573,0.4396,0.1135,0.03,0.0009,0.8565,0.97,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa2-3,2340,5e-05,1024,0.4096,0.3501,0.4096,0.3384,0.4287,0.1281,0.0327,0.0009,0.8383,0.9664,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa2-4,2340,5e-05,1024,0.4114,0.3677,0.4114,0.3525,0.4514,0.1108,0.0263,0.0018,0.8629,0.9737,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-CE-TRIPa2-5,2340,5e-05,1024,0.4096,0.3792,0.4096,0.3151,0.4378,0.1181,0.0336,0.0009,0.8474,0.9655,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa2-1,2340,7.5e-05,1024,0.4015,0.3652,0.4015,0.3649,0.4605,0.119,0.0191,0.0027,0.8619,0.9809,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa2-2,2340,7.5e-05,1024,0.3951,0.4232,0.3951,0.3207,0.4696,0.1153,0.02,0.0018,0.8647,0.98,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa2-3,2340,7.5e-05,1024,0.3906,0.3555,0.3906,0.356,0.4796,0.1163,0.0136,0.0018,0.8701,0.9864,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa2-4,2340,7.5e-05,1024,0.3769,0.3773,0.3769,0.3129,0.4814,0.1235,0.0182,0.0009,0.8583,0.9818,0.9991
google/bert_uncased_L-2_H-128_A-2-sst5-OLL1-TRIPa2-5,2340,7.5e-05,1024,0.3878,0.3774,0.3878,0.3323,0.475,0.1181,0.0191,0.0018,0.8629,0.9809,0.9982
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa2-1,2340,7.5e-05,1024,0.3896,0.3588,0.3896,0.3476,0.475,0.1163,0.0191,0.0027,0.8647,0.9809,0.9973
google/bert_uncased_L-2_H-128_A-2-sst5-OLL15-TRIPa2-2,2340,7.5e-05,1024,0.3951,0.3775,0.3951,0.3398,0.4659,0.1199,0.0191,0.0018,0.861,0.9809,0.9982
